IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
JSB116-3	-0.00859402039438431	0.02391351228066146	0.0028284174049569193	-0.016623184108602123	0.00609709439096475	0.0025849925701326693	-0.003146560230665604	3.8550489754318545e-4	-0.0014668060481223613	-6.307897300433689e-4
JSB116-4	-0.008823645223328774	0.023900215282038496	0.004211664310729528	-0.017768383396123667	6.40442687448631e-4	0.0023173902717657	-3.722601171357101e-4	0.001163843170038901	0.0011961222038568366	-0.0022441950886670455
JSB116-6	-0.012923633250067073	-0.028949655530547447	-0.0016891624550759753	-0.012917230391517816	-0.008741593425822357	0.00454233815336941	-0.011419744084563472	0.001766667324420627	0.0015855620676223133	0.0016446526369354947
JSB116-7	-0.007052717274606721	0.02142621370967447	3.102918202190775e-4	-0.013286016412651199	-0.02342524126366148	0.006652308123843052	0.012482067827863284	-0.002578059785786982	-0.003315877092252675	-0.0025686456935816453
JSB116-8	-0.008956276962979128	0.023387521006561645	0.0040406572495215575	-0.015964416012868476	0.01206370206564083	-5.310257069743391e-4	-0.0075396741527510285	0.001836556002726003	-0.0033495033058096044	-9.460537195700974e-4
JSB118-1	-0.008516469191241645	0.02417394349654837	0.0035639381406953434	-0.01655862319035607	0.007334446950224268	-0.0012652619677138365	-0.008507242698922612	0.0038616353430208426	-0.0021720835905740476	0.004485314301646189
JSB118-2	-0.008696277792614086	0.02432894850906749	0.004497945229703795	-0.016583445685848474	0.010624849735762044	-0.00165160121431841	-0.00562821877501263	0.003501340453504467	-0.0037704647552564705	-0.00321517063866372
JSB118-3	-0.01018691374173142	0.0074691520750666445	0.032444897293313166	0.01831873999045977	-0.007394992127188363	2.794619669328655e-4	0.0031657455367534743	0.003871503459738372	0.006578277503485937	-0.0025328690375411704
JSB118-4	-0.00846890291488596	0.02299335997595236	0.0030607441190917107	-0.015697798485983197	-0.002835595035845773	0.003169448033646215	0.003577563657977897	0.0012464471968841294	-0.0020657879247463285	-0.003475486219921136
JSB118-5	-0.008952051093066389	0.015577794805336258	0.015316816913581775	-3.6552433027236983e-4	-6.17280562647559e-4	-5.329529148048455e-4	1.0195795236801099e-4	-0.0021274196005751267	0.0020908640875588747	-0.004706065677976848
JSB118-6	-0.008745574800674645	0.023689172918179742	0.0036718596795152682	-0.01792064548067271	0.004093837558598727	0.0012228933181261386	-0.005076105151071786	6.447081923013531e-4	-0.004404077326923421	-0.0020889417711023265
JSB118-7	-0.008564655646458242	0.02354917451839225	0.004339739080947092	-0.01660527751923336	0.009891090912836142	-8.147366949561231e-4	-0.006749609834396862	0.0049316227749166604	-0.002671908794789032	-4.167473813896181e-4
JSB118-8	-0.008972170849135574	0.022970755078293322	0.004265198383057783	-0.01682509118413597	0.006224540568945738	3.3300954403812955e-5	3.7553323804139557e-4	8.668288653736021e-5	0.004225865569939452	0.001849518020007454
JSB119-1	-0.009270246117007896	0.023731533356650042	0.0036310280510809655	-0.015700714381538028	0.010912693467721118	-0.0010682772022725558	-0.006259491859818249	-0.0013518976863036607	-0.003986679395129459	0.0043854870577517266
JSB119-2	-0.008549829044853135	0.02402862629731169	0.003088732165366574	-0.017653392438089582	0.011071039574166311	-0.003133914847057548	-0.010011499165026428	0.0012944156205574034	-0.002354707891228893	6.927559597841407e-4
JSB119-3	-0.008400264980023409	0.024155897569845774	0.0038338076334500345	-0.015480975483188098	0.009289760354756827	2.6625110219274196e-4	-0.008505570715083345	0.003466270333026295	-1.5699567302496987e-4	5.481319036162076e-4
JSB119-4	-0.009301702165744023	0.024631740163424697	0.0036037522607040326	-0.016892343698278797	0.00388113725077978	3.0844489109906927e-4	-0.006298429246176793	-4.2070194281343696e-4	-0.003215955100616223	0.0022721915885557655
JSB119-5	-0.009228737401619279	0.023677965447911814	0.003884256357649008	-0.016158846433133527	0.012900124847690538	-0.0017734052376089313	-0.011420405321110076	-0.004805441236124151	-7.419291585797049e-4	0.0020026121934618407
JSB119-6	-0.009014559353140836	0.024086183305636805	0.004379881429480172	-0.016832268773194017	0.008815399745766938	7.792025732835982e-4	-0.0057032785692884645	5.668689907587836e-4	0.0016375918169772921	0.0015510495179624371
JSB119-7	-0.008952584735342058	0.024124744601643402	0.003576739053146612	-0.016527408154608843	0.005436198588448216	0.0016425589534154517	-0.003289009475276676	5.095104194048198e-4	-0.0027668801276727923	-0.0017861911676094447
JSB119-8	-0.009368364181910175	0.023705319273650483	0.0030799093826309304	-0.017049876824792334	0.0037149974753591755	-0.002118170655904764	-0.005582801270497376	-0.002183826807721792	-0.004914605042210045	0.0013001786844055241
JSB120-1	-0.007032655209594362	0.021635736416547743	4.52824072250513e-4	-0.013079099978087256	-0.017770572671208056	0.006071480785696981	0.013823338931465812	-0.004124449705287001	-0.005935265855056631	-0.001478000485939134
JSB120-2	-0.008740079727511663	0.023896226182451605	0.004363929523194746	-0.016988381335206484	0.008924254680481082	-0.0017367686520683	-0.004685720540193685	0.0020576795729271413	-0.0020930165478861324	-0.003385996330789549
JSB120-3	-0.00888332662161859	0.024552718000179656	0.0034091127457398732	-0.016556641876709837	0.0035016102989466258	0.0010394205144271275	-0.004660366841749645	0.0011517452934605163	-0.0027546828524850015	4.002787810888558e-4
JSB120-4	-0.008399039045065787	0.023906863781349978	0.002253384006219719	-0.017006923440273103	-0.013191448713857199	0.004276624724394786	0.009321300457682093	-0.001541861791782589	-0.0022369085207632772	-8.68645387650291e-4
JSB120-5	-0.009774004425240559	5.194263559225343e-4	0.03637330038749283	0.027573381265452293	-0.0010948960129463336	2.019397748026845e-4	-0.001395209113332582	1.753974845212681e-4	0.00975429250691861	-0.011950138915232306
JSB120-6	-0.007257203225537855	0.021637256073533225	-0.0014833894285644562	-0.013168520775102062	-0.02066201470283768	0.007631397027778054	0.013521531679123388	-6.492031594875186e-4	-0.005411488550644445	0.0013468113722856583
JSB120-7	-0.008664374638187531	0.024238149004184962	0.003017266968750813	-0.015712602263415414	0.00801645251418419	2.2032632869460466e-6	-0.008726773232394848	-2.138568399879404e-5	-8.36723511392113e-4	0.00453138006341914
JSB120-8	-0.009265443336526864	0.023437099815712983	0.003380983561199521	-0.015362620030283053	0.01193686033202221	-0.0014943201094706773	-0.012291915089532987	-0.002082893011353737	-0.0014664831790732725	0.0019412635513101695
